graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5
3-Regular Graph,cauchy,6,0.08123077783373935,-0.5814626082995392,1.0741588219950478,-0.3734363878946703,0.561921533335214,0.023252326633723636,1.7755734492476116,-1.6074142865513987,0.7405307198540417,0.1919570276478746,0.8646614441485947,1.2821336988632672
3-Regular Graph,exponential,6,-0.3853644249932443,-0.25112711719484665,-0.7384253580977665,-0.3872712616089793,-0.6215449009647541,-0.38207638593987175,-1.4755855127752187,-2.8261284148859693,-2.734294278828439,-1.486087421912033,2.689022027552026,0.29312329025742423
3-Regular Graph,log-normal,6,0.5417903711966655,1.0272606173433043,0.31592643739692666,0.4145562703649026,0.04355068441633787,0.18665961913866752,1.3971389823844247,1.513455242771568,-0.5441862562294046,-1.400253979765931,-1.3750713506767385,0.5494892370136142
3-Regular Graph,normal,6,0.4159251434304975,-0.7276429630491492,-0.4003532473466628,0.6412574602313259,-0.6986724570797369,-0.17180404492839352,-1.1928119787062497,0.8989653117644019,-2.169009080110458,-1.0424099936443199,0.027548462257888567,-0.05196384712202851
3-Regular Graph,uniform,6,-0.26456587651378893,0.5041022948275604,-0.010947451945083904,0.3076577761734288,-0.26466439790165996,0.982555202589781,1.0685813984065513,1.9079216116204119,2.159371901336802,0.12400189342603492,0.32834732849898696,-0.4480354869099392
3-Regular Graph,uniform_plus,6,-0.5854169035090593,0.28021609003298176,0.40627752239376735,0.39381636479294835,-0.901077371644232,-0.3399618797576883,-0.9850148843876039,-1.121081944541174,-0.6256752877851862,-0.7934019883800743,0.6897687017361719,-0.07608601604991455
4-Regular Graph,cauchy,6,0.5082404954227724,-0.3167309811295731,0.5733367198528995,-0.40970887556571295,-0.12033945111263467,0.7174053923903774,0.013189908758497904,-0.11880267457060459,-1.094992825992899,-0.5435802748470151,-1.6066929752755352,-0.4677623394413868
4-Regular Graph,exponential,6,0.2718338034474822,-0.5429652956573032,0.5290658951624096,0.2990102660868803,-1.4351900314237311,0.002336578896403582,-1.2563529282417383,-2.683215203212591,-0.042236860758789546,0.7124025426068654,-0.31847947093527823,0.11849186684767468
4-Regular Graph,log-normal,6,1.0517530517017337,-0.5177940926980541,-0.14368572489954246,-0.177347887338158,-0.6673892773422119,-0.15029075929184865,-2.338126912048832,1.3574068776364454,-1.4449937062445102,0.6755252435747425,0.17919081443599538,-1.2080437156158803
4-Regular Graph,normal,6,0.30558595746613004,0.3831067676437634,-0.6234973036314386,0.503578002192039,-0.6265798512138987,-0.006106398788960639,-0.9752443244467606,0.6439557602385522,-0.5934157647651909,0.6047055389574088,-0.628313826965926,0.028714324945283726
4-Regular Graph,uniform,6,-0.5884554902331278,0.249578208781514,-0.44458272573252544,-0.6903249846727595,0.1820317576764516,-0.12666699648134913,0.9246859005980481,0.7717455582056201,-0.5994834361221115,-2.19759247636536,0.2849226276237702,-2.228991191660562
4-Regular Graph,uniform_plus,6,-1.3247616210857829,0.5969497663354385,0.27346431056361836,0.37487420003060923,-0.07042337997230896,-0.10629255052095396,0.10444629944585737,0.8170019003024094,0.03430858914706242,-0.5069244691969621,0.4464166519122018,-1.8831020552512063
Geometric,cauchy,6,-0.3622032944399141,-0.40204029985002376,-0.25275158037290013,-0.1884673668105982,0.13002391326043664,0.3284187480165852,0.7075830323920587,-0.8404374779245818,0.7588138430401601,-0.4432346316289867,0.1468489470280844,-0.17982250632596547
Geometric,exponential,6,-0.432882657381508,-0.3492183285577246,0.3119818388586395,-0.3462535407668983,0.1979463493050571,-0.1750567390188702,0.039699189060582896,-0.8097181191188442,0.0034431897836937897,0.5918491324618906,0.41471321639832026,-2.7652840434653765
Geometric,log-normal,6,-0.1752936687406983,-0.4263343426433919,0.3967779009337673,0.6787387790307333,0.43216536232186703,0.8221280671585105,1.5162019580007464,1.8595662517487577,0.6788956433964561,-0.47970317634508486,0.45792147460208915,-0.3826993767605211
Geometric,normal,6,1.4992868805879838,-0.43408833114996864,0.36687774498312775,0.5263324074787261,0.38525113770383645,0.14156227237490637,0.8511495751504029,-0.25034908960712476,-0.3945117948678522,-0.4426655793586059,-0.2562782076157986,0.5169768134239598
Geometric,uniform,6,0.391647859147659,0.5467169312324274,-0.6116004627181504,0.779108087683074,-0.5884554439939675,0.3708290934983495,-0.7467713764904522,-0.22998162140065487,-0.28634849809384727,1.0085420097901876,-0.20584442970595407,-0.9979032825906249
Geometric,uniform_plus,6,-0.45466376540379405,-0.3850713841340757,-0.227757157984199,-0.37178063329573535,-0.20999105623824874,0.6677858581919641,0.0458548756733288,1.2446053268126218,-1.4152031017175362,-0.8203450629761924,-0.597258998684222,0.6962427443000823
Nearly Complete BiPartite,cauchy,6,-0.14789812404844593,-0.5599502292015239,-0.23180294929624778,0.42439089991654344,0.6499931872482161,-0.7447494426693635,-0.8829209208046239,-0.13289146696138804,-0.6160522645655068,0.5755564455565592,-0.7273910598303117,0.1746609481258647
Nearly Complete BiPartite,exponential,6,-0.3520790294091485,0.007578343263349996,0.6106953406667126,0.16969845204080858,0.2196889846453715,0.14200771889109237,-1.20843440388659,-2.303870807848714,-0.9928218232545551,0.7799562870878635,0.9089709095299916,0.6520001370016533
Nearly Complete BiPartite,log-normal,6,-0.09343507046845109,0.6499042374255413,-0.8131771386121514,-0.7021933876364622,-0.1831538393643289,0.07162655046771352,-1.689809922201047,1.1633600047869401,-1.4719461126791749,-0.68066902291047,0.029271443390173596,-0.31565521840882094
Nearly Complete BiPartite,normal,6,-0.44953885133080973,0.3145108651168345,0.4394901821707648,0.4900832734804941,0.1124727595961811,0.20725071483871882,-0.9084359005594003,-0.7828826564420379,0.6176800720083815,-0.8306730603787371,-0.07965355138555864,-0.005631497656703739
Nearly Complete BiPartite,uniform,6,-0.36568029400025065,1.4215372867243712,0.21229531342314922,0.09123564637003562,-0.9232904213607992,0.3488672416957908,-0.7622440433168747,-1.3675896211872696,-0.9958556171507216,0.7748108261182256,0.014490175309454192,-0.8817384126692523
Nearly Complete BiPartite,uniform_plus,6,-0.5542075333304576,-0.20920976593258997,-0.35925145899669175,0.11282359363604787,-0.30596540294930286,-0.1723343009050633,0.772653982945666,0.6530673621141501,0.09677908358912542,-1.1286454317109689,-0.5765746874095404,-1.960375702052568
