graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7
Nearly Complete BiPartite,log-normal,8,-0.2976744117915211,0.19168084655639062,0.3972097011394945,-0.15497911028577743,-0.26128008867245334,-1.2383774601746147,0.022367067958482183,0.5524392446657104,1.2788429726813975,1.0758211846406072,1.2931583065229426,0.25638385257264573,0.5763476077441312,0.6539111103999511,-0.8380922174865948,-0.20279764236662423
Nearly Complete BiPartite,normal,8,0.4162750743823469,0.0010243413294395293,-0.6173439217314447,-0.0664603879769168,-0.4660361946767194,-0.7033099078421942,0.27814881510337086,-0.1323943461053778,0.9193932707104806,1.2885406207933743,1.10536645553556,1.2210071188879954,-0.2688209008146306,-0.6264909151742225,0.1709894627356338,-0.25919723568488207
Nearly Complete BiPartite,uniform,8,-0.5189823735630391,-0.4652233185764739,-0.35702203832415363,-0.021054928569698067,0.3578514277493319,0.7038498952724727,0.7977361413695072,0.7818264870552349,-0.6128444849549304,0.8079030662824618,0.49017070553584086,-0.7925597989675109,0.41369693135882357,-0.2943351878406787,-0.3413551485984512,-0.2082504261144122
Nearly Complete BiPartite,uniform_plus,8,-0.3435667664876382,0.012517428836290614,0.4460366381688076,0.3631877656977634,0.40430250967644854,0.16733201953762766,-0.2074130452610323,-0.1028942036118315,-0.6322644083069652,-1.1652847752973963,0.33104328167719516,0.430848672793668,0.6415286123939954,-0.7461452129876728,-1.8235509791424631,0.11468806181284119
Power Law Tree,cauchy,8,0.6199391908704607,-0.19109329058000332,-0.03386271684790278,0.5862255984867073,0.07629476322165296,0.21709871393670882,-0.5504680664431851,-0.29296789600539713,1.9160277718457293,-1.3062097578654241,0.655029957166453,1.9931909243302661,-0.2841876624143177,1.059319008818583,0.05791520988519795,0.8212962274135442
Power Law Tree,exponential,8,0.27780766459659456,-0.5137682622993507,0.16507988284384179,0.5224953694728767,-0.47388234951658686,0.3132384536494921,0.06403089146843588,0.12968089466441315,1.9620258239946393,-1.7562489824744736,1.7370422760528101,-0.5934909139626956,1.36350664403377,1.386646543797653,3.472182060494659,-0.12360060190322852
Power Law Tree,log-normal,8,0.6399833158307737,0.6374673455647086,-0.6856147454173921,-0.2910058002689926,-0.013299509446332,-0.9921239198181673,-0.6071059205590112,-0.2896110256425992,2.0667400879641082,2.9554183029545786,2.719041404481912,0.1344619898197561,-3.03220401357785,0.3175293834386334,3.0652723959463417,-0.19578247462815052
Power Law Tree,normal,8,0.0276186820067149,0.41430587283930104,-0.3837944446447633,-0.6596031643399127,0.47787894516567675,0.1144245329003016,-0.41673621490364426,-0.08468941061970413,-1.3918634078527448,-2.4225110690893104,-1.9970450415044456,-2.2267256764401595,0.050611432360268716,0.42677783782704903,2.0172464819239506,-1.1915742048107685
Power Law Tree,uniform,8,-0.3106896237377129,-0.11367226767695153,-1.0550958410113234,-0.5426221408236998,-0.7112162100027342,0.2550356397942395,-0.6476001153826444,-0.01556062749047963,1.1721960974735905,2.318681895821574,-0.7625875248933945,-1.6421762564528861,1.407115765697005,-1.1609502907381675,1.0607012336453252,0.8529709100664462
Power Law Tree,uniform_plus,8,-0.6987326801939117,0.2637738250212259,0.4484517075096575,0.07802321532789991,0.3838847894938989,-0.3300723469900148,0.5741509980953827,0.02122019961677578,1.3518307027035936,-0.2411122217500717,1.2766735528372037,-1.8021467529906516,0.5281324700613991,0.3627682743888957,-0.6599008595023164,-1.236253590639132
Uniform Random,cauchy,8,0.5997242333396675,-0.4710476585538069,0.38630813429082467,0.9024129790541762,-0.3264796629739571,0.2186145637859772,0.1469258861885716,0.07059937251524534,0.010192302099426731,1.1488116140088647,1.4672084941909687,1.6664906777214727,-0.05089820882164725,1.184806091973341,-0.17497783897729957,0.4836610177251396
Uniform Random,exponential,8,-0.14066872167106836,-0.3537341933767507,-0.1933978813517877,0.367987821946954,0.18820776664730662,0.6234715089986324,0.5294419373085673,0.12096594998185814,1.2429098059621544,-1.5864788540092882,-0.3625634611066533,2.514233922074352,1.2163758840323706,-0.7410520193448029,0.06215461852793523,-0.018457326932121813
Uniform Random,log-normal,8,-0.4485045788142114,-0.4649701446388651,1.040405472861795,-1.2433603776606887,0.14964168901110161,-0.32822804487884316,-0.01048902824369786,0.14981154537501823,1.097330234010798,1.4646150302783483,-2.6129156458609404,0.8343557068604834,-1.7196298627658169,0.5147095190376968,1.4681579589358684,-0.7377532675554574
Uniform Random,normal,8,0.3027819661112692,0.4535789728074561,0.3344668608372336,0.6285521357306747,-0.028864384977773574,0.1959718234691572,-0.332316657025287,-0.18354510598506196,-0.9885201289196914,1.4325378379809215,-0.27197769595041377,0.035393987522379655,0.7144659218540765,0.44635253632911986,0.11771046716911093,-0.14851423618371046
Uniform Random,uniform,8,-0.49166089117244616,0.3948585947278045,-0.9685150586104767,0.7034514466570602,0.00587325392703459,-0.18196983570377678,1.0522455085035296,0.09441598235611855,-0.9221174609329836,0.5084713648488202,0.54863160925325,-0.4882752921125485,-1.4200192010798476,-0.22222848632050105,1.453360280398535,0.604604581500387
Uniform Random,uniform_plus,8,-0.13832797376847386,0.5153736221760044,0.48671108012498,0.0854457539612942,0.5438355182982142,-0.5963574432867202,-0.0329836693045468,0.13613263062367842,1.2370989209807786,-0.5480697374318086,-0.4523186250498595,-1.1374614260496259,0.3845820270431363,-0.5341899133861766,-0.5465528948323464,0.1911688706753457
Watts-Strogatz small world,cauchy,8,0.7032708033757871,0.4147354997587702,-0.30768193230234847,-0.11942460508966903,0.25436041713480223,0.15162838353891328,-0.1903037828858996,0.7205423928845481,0.5967586051671148,1.069756802559204,-0.4407408965297789,-1.6576417775257992,0.32927226374231044,1.1147211780020831,0.6934587026248125,0.1518734138893554
Watts-Strogatz small world,exponential,8,-0.5699857290406847,0.08209544854781134,0.9780061783806062,-0.018451565372425167,-0.440143463141724,-0.5213766461716688,-0.24935947467658576,0.46417522293339153,1.1302640470946212,-0.8955065409622615,-2.534923481199954,-1.7426345370130132,-0.42259507162513343,-0.5273633014712706,0.5593992715335409,0.4927903064895922
Watts-Strogatz small world,log-normal,8,-0.13363032975468425,0.44678341414485356,0.43615784424864856,-0.6920933974866116,-0.04297032475023267,-0.16983892470144452,0.15677798950851046,0.17371556329967588,1.0945014858341484,2.2702444200285266,3.3026272946378215,-0.3738973277135702,-0.373657008318389,0.46924357074709344,1.1276772710377232,-0.32699835404144495
Watts-Strogatz small world,normal,8,-0.5228583872999585,0.3507587046884808,-0.07959266314828645,-0.786264556336121,-0.26577787721307683,-0.8498666660950436,-0.047177777002305014,-0.10764297555108471,-0.686438673360654,1.3416127855517976,0.4436748664741058,0.2434170617239746,-0.2342319619076113,-1.1499840715266179,0.036532663378265426,-2.1581784750590405
Watts-Strogatz small world,uniform,8,-0.5433711452968799,-0.04234976652208976,0.008032949958377944,0.1568890576401214,0.8792795338862143,-0.19313945356208448,-0.8537595086349326,-1.4531616686116742,0.8196507970860047,-0.8358546823614799,0.40065435644055436,0.9034615553448854,0.0003690147672243821,0.0585237190953989,-0.3237875603295193,0.17589934001991034
Watts-Strogatz small world,uniform_plus,8,0.02358946692817003,-1.0333423128718042,0.49057826184282494,0.3046813908662045,-0.35155713085651974,-0.9076002446051532,0.05924157876927214,1.4343817761923767,0.772193249192924,-1.680969042181407,-0.7048743064871881,0.47340926551927853,0.6397197680487863,1.7907345233556997,-0.11910450465616321,-2.5385369553702652
