graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
3-Regular Graph,cauchy,10,0.5119381198727344,-0.12744792202105834,-0.2620942934033992,0.7478256736419628,-0.5658796913641071,-0.34447812103393705,-0.5022918801530816,-0.2370506937513802,0.8642113823806421,0.9811363514777629,-0.6833346421651119,-1.3390409336423137,-1.0863345195164649,1.3728643164680976,0.44679516147464127,-1.5226720865849919,0.7901615154237637,0.3398250783093624,-1.3665205346593041,-0.3750220992570941
3-Regular Graph,exponential,10,-0.19391488400101645,0.4594105665770636,0.7700794532655622,0.2290247221168382,0.3656100725168026,-0.4033857571418587,0.467640755078527,0.8367715727349507,0.10234302421302352,-0.24505859757043325,1.6781484725503952,-2.5515610241943785,0.652241823889119,-1.550810801707726,0.45104072398040745,0.731746942124126,0.3777322592599157,0.805767977689699,2.789618721166707,-0.9014587251095365
3-Regular Graph,log-normal,10,0.35422601880212845,0.5872910725286226,0.44014426830793185,-0.2010415045555647,0.35752518526605825,0.5558776055103363,0.45362719431043474,0.6377759965956418,-1.0097619061513792,0.10854942638057,-1.2790876320965097,-1.1864675988224898,-1.7939807266593064,1.5304868438313748,-1.363184905540793,1.7831708653962814,1.0696465769214438,1.1572512030248565,2.6440424022592706,-1.1093305791311585
3-Regular Graph,normal,10,-0.9921419851200993,-0.49576761862209384,-0.3352551911874607,-1.124231273442949,-0.3485786532836553,-0.35582545105295604,-0.2501787690592477,-0.8962077882259296,-0.168797517737091,-0.1043343641349759,-1.1898370937527294,0.6888238606817432,-0.7229814222866129,-0.3734170541716143,0.40197614085206407,-0.8133909513989102,-0.5767408074318037,-2.6749158717354273,-1.6343040032224747,0.25608192752683423
3-Regular Graph,uniform,10,-0.7888019826274008,0.5063415631007124,-0.24780276629232345,0.4466242068312226,0.3824128893193519,0.3797724777973188,0.43428586057812335,0.37688504276972834,-0.09601625546681895,-0.1764618389562619,0.9733337306750434,-1.9017001093482335,-0.8303747263519328,0.5120045067490432,0.7659825943368946,-0.15726985426199766,-1.0249142001080203,-1.351810864173903,-0.09957428915959363,-0.5061939148110803
3-Regular Graph,uniform_plus,10,0.5541809943835512,-0.49894421848767323,0.3326460389933101,0.19083461760476136,0.4523155695457604,0.3687596766301646,0.6855064884394747,-0.4810185142529601,0.15144665075706676,-0.0009535357998067262,1.0367926234966167,0.6798250991754731,-0.8461822111895023,1.7533079623198151,-0.44175497548360987,-0.3905573042815921,0.8879179159794673,-1.2959241089860405,0.37918754774635477,0.23801479931586417
4-Regular Graph,cauchy,10,-0.32602099939841367,0.4712714160708636,-0.5013750254820941,-0.06159576133589316,-0.744863638907397,0.4288026448699602,0.2767431065587479,-0.06664887435598622,0.06698861791035782,-0.09072022632339262,0.0961580564342098,1.0172862505916407,-0.8594515116817587,-0.7942312397894353,-0.8959482897630513,-0.9582411586660378,-1.2917901682997748,-0.9442129478217068,1.4715614801357775,-0.30295974672044224
4-Regular Graph,exponential,10,-0.5716471036585495,-0.5395456818720554,-0.3349407354646462,0.5105530558464217,-0.059260983317757414,-0.17363351286735976,0.16600343094717646,0.019235975418648764,-0.07329996144362529,0.08747184511051811,-0.9544069033991056,-1.5302682228390583,0.5833683321614376,-0.05264126597457751,0.4918505650761281,-0.66272844855977,-1.0050388397817343,0.04654340024423898,0.033302788799236205,0.5029093277849231
4-Regular Graph,log-normal,10,0.3600722416750496,-0.20804651680741815,-0.23839189836266295,0.12962013978107248,-0.5760358705314451,0.08524780011624083,-0.14891438999235174,-0.1803991538944689,-0.09287582351525547,0.12527248699593485,1.2122962306834961,1.1283136076309503,-1.4140161991319844,0.7409096274905709,-1.3109612648980615,1.252091303908811,0.47397148513047715,-2.272429730357898,-0.029598240895405054,1.0646141584472706
4-Regular Graph,normal,10,-0.22974243898834257,0.14641049301643605,0.822812080727947,0.3752108435050323,1.2499928946957026,-0.13996377791011158,-0.4345134378401523,-0.6795553990515839,-0.626884557544623,0.08281318938124932,0.18065810044738106,0.7236986094482533,0.4504251245934787,-0.7144274098276072,-1.6406858070226173,0.24176275916193843,-0.19475703722942428,-0.05270584688355784,-2.636498093295291,0.22726551679837265
4-Regular Graph,uniform,10,-0.4071432384507546,0.4006250134278312,0.16089462566719986,-0.4367383716340495,0.13452848014688076,0.4885772812403939,0.07591786643741433,0.15214090582660006,-0.11847843152200435,0.3777860639927294,0.9190189585126648,0.513853057902752,0.4932451614657479,0.08690894748534757,0.7936027319350363,-1.1011916006601616,-0.43966641431186193,0.34528359866184616,0.7586074764231958,2.641518769910602
4-Regular Graph,uniform_plus,10,0.43510737982410425,-0.6956894367883082,-0.22189066231482193,-0.434011433872982,-0.019249021965809028,0.689953134386163,1.458802578604244,0.8197470428650449,-0.6502257660276514,0.3425377924888167,0.8225620765233121,0.7957297986059779,1.429666354952384,0.5527075031136252,0.3114975536292345,0.558420329617068,-0.16097838738522385,0.21097143137226265,-0.8020007787533419,-0.19223042871599422
Geometric,cauchy,10,0.5854595523246606,0.40964760034525094,-0.2767652762301108,0.27632984425935814,-0.35542299405230326,0.5900019255664144,-0.23187669350361384,-0.9114243081915729,-0.18829217429546,-0.020457935323203145,0.7650217688616613,1.4057596622761168,-0.6888003822537414,0.6326727407821013,1.6105990277315696,-1.063746837065561,-0.25582483647733034,0.3030821696889233,1.8165347176794104,-0.29758736146023396
Geometric,exponential,10,-1.146624864079865,-0.3617463256893352,0.03628404443583694,-0.38509800668128613,0.9311704133071769,0.1714664186544217,-0.4304053074031948,0.7612181922073055,0.05791030776355471,0.13038662537194567,-0.8992065946049106,1.5295140710543205,-0.8884970992829233,-0.09366667152316305,-0.4879403492767888,-0.12133561209159228,1.3224705816293427,-1.461634300040744,1.008414895141161,-0.8004423132657938
Geometric,log-normal,10,-0.5752790065162368,0.544781867907232,-0.018667513762459974,0.2533120255022966,-0.8631075436873538,-0.028626288311303864,1.3429474792272753,0.3406326293163859,0.7175805619414004,0.035262435217487974,-1.0900046255085112,-0.6847652240543302,-0.75188281088939,-2.1406215406531763,-2.527535960165877,1.2395770673959456,0.688423523122059,0.34284226227539855,-0.19333944208505927,0.3413112828924012
