graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3
Uniform Random,cauchy,4,-0.42908714173155715,1.0227416679337962,-1.0122811188582421,-0.18434564410387677,-1.082624068202874,-0.6990610091177965,0.8188950304644445,-0.31588577318902117
Uniform Random,exponential,4,-0.2676820327784887,0.17374012668071956,0.3692868012237386,-0.17416266263466834,-1.897892948722458,1.2171581753776917,0.593990747598832,-0.4697788678073068
Uniform Random,log-normal,4,0.7158879514682337,-0.5226261123681851,0.25901834383731204,-0.1464861353093555,-1.572201497999499,-1.648884103919933,0.8111094411674752,-0.7906636399764526
Uniform Random,normal,4,-0.11997040762087739,-0.5402726519380598,-0.5459185570744854,0.027132747007340564,1.1170729706917988,1.7969329966470458,0.877845298346915,0.4550621638502546
Uniform Random,uniform,4,-0.5446024639360183,-0.43997009339167836,-0.27960347850529,-0.20013133984308573,1.2541186187133841,-1.8397708159618649,0.02489119049012306,-0.47118629491878916
Uniform Random,uniform_plus,4,0.31422569708089687,-0.2536397760413394,0.07452414309796228,0.10866603621225909,-1.1606980758767569,0.6023689580065728,-0.7129398504479909,0.6106429415379337
Watts-Strogatz small world,cauchy,4,-0.33699037789026365,0.3385183558300281,-0.41826147983694795,1.2139875305078411,-0.964754674543566,0.5452734049996302,0.9820912147372112,-1.5903463540536322
Watts-Strogatz small world,exponential,4,0.19614809956488327,0.30689791816146694,-0.4282526659561013,0.19773449363033366,-0.11966717595701193,1.4076339852621151,0.7392610349415363,0.8693235374876347
Watts-Strogatz small world,log-normal,4,0.18044021071778846,0.2727835310512122,-0.7013062257595095,-0.20614417794451223,-1.9901981186751616,0.8952330021624715,-0.6941104725163472,-0.36526853449500696
Watts-Strogatz small world,normal,4,0.02553150767163466,0.7680333850661341,-0.06440634914128568,0.21425511516508372,0.9335992036683742,2.112438091020511,0.4649763809992049,-0.3098967597288392
Watts-Strogatz small world,uniform,4,-0.16335149952631117,-0.3834232863717141,0.18631795505436186,0.7546274102992024,-0.9008900768440418,0.7710216213648018,-0.02330534574947432,-0.5540371918892243
Watts-Strogatz small world,uniform_plus,4,-0.010753888704741539,0.4255101843047039,-0.7251787669175962,-0.2889078942457991,-1.0513130883014097,-0.08514794241348633,-0.04211245332439478,-0.3926415605397485
