graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3
3-Regular Graph,cauchy,4,-0.31556353586360675,-0.814404529367633,-0.3849517451606026,-0.889226263996107,-0.03283448515516335,2.13089684900112,0.6450561059795803,1.620179984164006
3-Regular Graph,exponential,4,-0.9903086456788015,-0.6271575803152654,-0.5131094647369143,-0.184526818538371,-1.5368771504778738,-0.6241666345566304,-3.529388336643799,0.32578688908263326
3-Regular Graph,log-normal,4,0.9585898520561038,-0.3972316007243142,0.2073143863309022,1.425306619031503,1.22766112343375,1.6061607449580522,-1.4274497359652152,-0.04021383785679805
3-Regular Graph,normal,4,1.5608239581976868,-0.3042008382117345,-0.27060391251883303,-0.18337713211886936,1.120113827719964,-1.3833457637442854,0.5473566372155725,-0.4644988274761427
3-Regular Graph,uniform,4,-0.3093571454852018,0.21926082470137492,0.6143290929001166,0.17903831857511515,-1.1255295590053214,0.8989710936566524,1.3302079045072734,-0.6833226284392091
3-Regular Graph,uniform_plus,4,0.029327041687368514,0.6397531376269308,-0.027398229164936075,0.030946997617836827,1.1723438869313751,2.0583772713270005,0.568653901832693,-2.308461512451469
4-Regular Graph,cauchy,4,0.49221251616327066,-0.1003637932104841,0.5442470488013323,0.12633472934165987,0.8409636784932202,-0.14502416510216926,0.42162318538322496,-0.6347218920906548
4-Regular Graph,exponential,4,0.9902942323780943,0.6292971284238444,-0.9216404049858162,0.11588690122796981,-1.261013620861141,-1.1453575172308872,0.6734809881422863,-0.6749217560264766
4-Regular Graph,log-normal,4,0.4943665243756885,-0.6433109160747602,0.37765378642180125,-1.3576651522581886,0.04931526832377009,-1.45280054129641,-0.9935574072162419,0.5969072910764817
4-Regular Graph,normal,4,-0.15830174528899255,0.44228717175449905,-0.19587019501566746,-0.3845534297606849,-1.0277497458747045,0.7330940751347453,0.5131835298479952,-0.019727640732597473
4-Regular Graph,uniform,4,-0.5389386623047773,-0.5433560655299252,0.19590582138244766,-0.7079580786232913,0.9557331457417366,0.8611709663126963,-0.41863523070745406,-0.34236834820127426
4-Regular Graph,uniform_plus,4,-0.30940613008725437,1.0186105555810379,-0.22624333030415505,0.5973665334929328,1.4371931517404533,-1.114069114176508,-0.8597626179481355,0.2930730586030674
Geometric,cauchy,4,0.36145420717421317,-0.2081880455241953,0.1715971037164457,-0.772463438544738,-1.0584647321467981,-0.8223886217473216,-1.4943277202551857,0.4565498970638321
Geometric,exponential,4,-0.23148194073820239,0.40927664494361443,0.14297187381982873,-0.379792165900813,1.122291533070496,0.6425275999186985,1.5741976173878174,-0.41351966212256736
Geometric,log-normal,4,-0.04792208535362827,0.4983665336754024,0.9556413291300409,0.626638355372882,1.1508349260327786,0.839601575100316,-0.627927206120993,0.49049865693963995
Geometric,normal,4,-0.13874437804664458,0.26399579195388345,-0.3239590083501628,-0.21580585803883756,0.9300148450643191,0.4691289801359382,0.4301885812957953,0.25979868030123926
Geometric,uniform,4,1.1143574567852006,0.01692300420969005,0.07188316107,-0.19581664677410499,-0.6900691282312158,0.829487505641146,-1.3071633042575785,-1.2077632896996633
Geometric,uniform_plus,4,0.3809164674494898,-0.2942744884307452,1.1488824081499112,-0.8188141734288511,0.7308026803581222,-0.8698461088706995,-0.9934305083088895,-0.35136133536057046
Nearly Complete BiPartite,cauchy,4,-0.7628085361728554,0.4224732951962765,0.30568562212982925,1.1856082896508822,0.7567900239961673,-0.28062083298754364,0.7924372617087112,-0.40258077366271483
Nearly Complete BiPartite,exponential,4,0.0055554217935242095,-0.2698903736954522,-0.31096415973821556,-0.1873433293807596,1.9310283991307708,-1.4575629566569444,-0.7848169793007975,-0.6570770011907718
Nearly Complete BiPartite,log-normal,4,-0.6466283913832358,0.7784840814335483,-0.9801760092054139,0.20424646970881827,1.7586796529725595,1.5385780930429183,-0.08125639778949434,0.8497029422005119
Nearly Complete BiPartite,normal,4,0.38627701489311006,0.496781279236698,0.8248614426168346,-0.2702307790944966,0.9520968643235814,-1.017599682769572,-1.612849238072418,0.15531485664308656
Nearly Complete BiPartite,uniform,4,-0.4520205230047769,-1.2949439779158136,-0.2348399215211433,-0.1333862791838224,1.1211607695896104,0.8564190486346176,-0.638981763850518,-0.3132103593555268
Nearly Complete BiPartite,uniform_plus,4,0.47363418728155326,0.5889769140770322,-0.00805625887529518,0.005658618182911135,-0.9687480436417684,-0.5569249180208103,1.7391971369743886,0.9413192802253204
Power Law Tree,cauchy,4,0.29146091837800436,0.007728650465589487,0.40386677908165747,0.7544954234166031,1.0074732665786048,1.5204478601516307,-0.24597659757951437,0.7037515499993896
Power Law Tree,exponential,4,0.4568855228199199,-0.2384581887188733,-0.26400108624005814,-0.12923708247686636,-0.08688360329104527,-1.4817478830126296,-1.8395332747301856,1.1187585079191629
Power Law Tree,log-normal,4,0.21526405803760296,1.1004035877945122,-0.2928605093983866,0.16833744908771253,1.5835164830248252,-0.08053304485222973,3.190080305189494,-1.841766675747451
Power Law Tree,normal,4,-0.2821030223016222,-0.5116243984061176,0.01753801133709028,0.4169918734615176,0.08303660665259227,2.5306760813486244,-0.2059418396071679,-0.33759294776535326
Power Law Tree,uniform,4,-0.6559667939398179,0.8304444859433127,0.083967726437444,0.29166930594843027,-1.7246022975169661,-2.3689440290820682,-2.181981864377607,0.82923348467475
Power Law Tree,uniform_plus,4,0.6009519561009302,-0.32519796197737305,0.26058003432026033,0.16159459106127905,-1.3315044409454782,-2.8180566552792925,-0.06653803248503715,2.9704740556572387
