graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_10,median_beta_11,median_beta_12,median_beta_13,median_beta_14,median_beta_15,median_beta_16,median_beta_17,median_beta_18,median_beta_19,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_13,median_gamma_14,median_gamma_15,median_gamma_16,median_gamma_17,median_gamma_18,median_gamma_19,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
Geometric,exponential,20,0.5855663985645303,-0.3255327480756305,-0.25504953264611235,-0.8480121606236689,0.5617234297399278,-0.03336816939727066,-1.254306994483671,-0.6389546279070237,0.20047787883250623,1.4274367469848228,-0.05653703448772192,-0.05041030250515968,1.2618532238317128,-0.31896237144535783,0.8603414976613992,-0.6525178571154598,-0.15329874995796727,-0.9671129679255156,0.8004170313507836,0.5389146365537127,1.1239724609249029,-1.8787353602262122,-0.4099415555141014,1.5972659400131732,0.23518965798756708,-1.095660110043823,0.20825656296436412,-3.2976071169218786,0.006931955953843553,1.264158299842828,-0.44218982684367447,3.6334867061188763,0.7326200695318011,1.5170768210089423,-0.8468942267273618,-1.3879775780396904,2.3297106604566524,-0.9853075725929016,-0.5844292672776827,0.9097003175773172
Geometric,log-normal,20,-0.6344320256135076,0.36409266297568005,-0.26901914147821315,0.47477235146010127,0.6395652414786165,0.18817236108465893,-0.0334087136448545,1.586659477167724,1.2617223908007562,-1.3611741606616932,-0.6267603584527147,-0.05554875205556302,-0.09887648815908222,0.4084087781521694,-0.0009513886036858937,0.7403355732363107,0.7716125421687073,0.4593940893348577,0.7675558772138087,0.14022340436853498,0.8694781133996888,-0.8805786376950739,-0.11473384500146014,0.45973850852305725,0.4074301944586158,0.959150993169531,-0.1482852150061161,0.4056726133492694,-0.22094496652465836,-0.837557215729572,-0.565195730308537,1.0215377217268928,1.8827528095345234,-0.4818855453028954,1.940355125203113,0.5486459142203898,0.6057730916235771,0.19906853819428566,-0.6088044024249127,-0.43562707910770965
Geometric,normal,20,0.5239875373358103,-0.4047708408209437,-0.6391169390459149,-0.847067763835366,-0.9174446979558816,0.09346439934820236,-0.12996666809536359,-0.5084475539501729,-0.4673490799024668,0.3222817495971636,0.06147725230358243,0.14360452758227368,0.19369947462123963,-2.0488653233800735,0.9741227657654847,0.2559567384739659,0.4229871873485856,-0.5147964091981702,-0.893238885239996,0.1668473925302774,-1.0528244367980684,0.5590713879529443,-1.557519645183997,0.6132236068518075,0.11818240402992305,1.1660788320643538,1.1567227537831721,-1.4029559954911595,1.301302886195395,-1.5033649700118596,0.4104196196884189,0.357591141265608,1.2271384657957298,-1.562895542381554,1.2038904924648208,-0.7303558696380572,0.28219941762052436,0.812214643051438,-1.2939603114483085,1.041290310656455
Geometric,uniform,20,1.2661668384339908,-1.2109166767734223,0.23882784139919247,-0.5980817845577456,-0.45750592350757463,0.7758109127957145,-0.7331820827152433,-0.6674896293586459,-0.49890160376811027,0.2566287357074948,-0.4299569061705529,0.7597322995902938,-0.9050324602065509,0.8897600440471413,-1.0823526234092005,-0.5462068238957478,0.5714466092177248,0.5000629134474587,0.6216014281161286,-0.4428245434647238,-0.6380437233582223,1.4198428459479633,0.4619938376192504,-0.25823789488973775,1.1044227473344532,-0.17431661900344597,-1.0751801149935787,-0.42566491628145536,0.1475980849397603,-0.025346303486548767,0.23804767677752958,1.1735920611949755,-0.0172944617619816,-1.1161624962794627,1.3263670390090732,2.4486331632749008,-0.853859450834004,-0.7053956156070497,1.1076944893598022,0.07479285392174528
Geometric,uniform_plus,20,-1.193126182509455,-0.44986465668143655,-0.14110834672679992,0.17235647832213066,-0.22849097597525064,-0.6599901024541407,1.1579437369648211,-0.3109768986584523,-0.7311012490319944,0.52256866016813,0.6489149742227557,0.6209745884953894,0.16111960710192733,0.9501501671871504,-0.31799003945165094,0.03043202105109684,-0.9326423438080979,-0.17641963690541865,-1.1043390269178643,-0.8790994289834626,-1.0620732334194143,0.5388077462034501,0.3002820076901971,0.20336687618725657,-2.06217992429707,0.19063068580773287,0.9108648027878902,-1.7489137545951914,-1.104274869487635,0.11866773076495979,1.0135051080157769,0.10361649026181005,-0.6205065113812535,0.7629889110800822,-0.9116903358551436,0.7881629135682696,-1.025215312001221,0.16047481048300116,-0.31123368823883507,0.43059507753215914
Nearly Complete BiPartite,cauchy,20,-0.6369740896843246,0.34052945350066244,0.389417741223654,1.2532927061064403,-0.3726154785948343,0.2113936562430479,0.11058377306678559,1.2104227025238314,0.6670196077868201,-0.07731820186299997,-0.05149647098520937,-0.052627512484804906,0.6958613506504163,0.7895934012976195,-0.2140730059367655,-0.11377084384380916,-0.7403694401347564,0.7951676351929602,0.6765256007617164,-0.06896785236461317,-0.6500490481788762,-1.6776035577107418,-0.9229255154164265,-0.7867784934699857,0.14911103815446422,-1.3916654068995677,-1.4163486575532178,-0.9572851809398815,1.3127228607877799,0.32161929890348107,1.7745318980614349,0.391572481287606,-1.2482811139698096,-0.5235245607350413,-0.29974318124703414,0.3359876711304417,-1.0716401861224616,-1.874385061790674,-0.5291856527165606,1.5449872270379987
Nearly Complete BiPartite,exponential,20,-0.16112972218334753,-1.0668688233210806,-0.5848082062164056,-0.1995247959684713,0.3379819364068794,0.2202469449454852,-0.8492363800073308,-0.04695711881091171,-0.9644850659986246,0.29853479067131206,0.08203815584953263,0.9023770805271961,0.44946819336722094,1.2157581201512364,-0.4024774586722958,0.3911422074171673,0.338367956621096,0.01730065887967407,1.0360175436156507,-0.6574213896891749,0.42255204756732256,-1.3001649749036175,-0.5944595959795733,-0.6851904488474504,-1.7146372324644652,1.3504726520567805,0.07392508827417342,-1.1187592161019266,0.9731708872053502,0.0499271051926754,-1.477912691003318,0.19410014887871174,2.6070051499909184,-1.2255518954265356,-1.9108060672394194,-0.8700727078045899,-0.134669699213131,1.5859415603715286,0.7279396569272725,1.018684357837001
Nearly Complete BiPartite,log-normal,20,0.09019928730139343,-0.44664059281201546,-0.3874251086960829,1.227492029011316,-0.13069525691635744,-0.12128382950961734,-0.2095577375785903,-0.1664096243669119,-0.08347486257520514,-0.7083787024260345,0.02916823639654506,-1.4766423651269482,-1.3406877842111906,1.0269518311611674,-0.372158496508476,0.10516983601195574,-1.1382816544279593,1.0666604926561112,0.5683561807054716,0.43175881549932954,0.7797907376062462,-1.624770291340823,0.6782128412452638,-2.4580788350705918,-2.0267759984317006,-1.5304599065209947,-0.23049050998609438,-0.04426796289944131,-0.2907027937542,0.14319396308242316,0.11804308106166939,-1.7985514322249083,1.1793811946022141,-0.5501656926403252,-0.3364389149740086,1.4723669738073397,-0.6717234157093669,0.010980108795047726,0.1842792968249532,2.04586145700499
Nearly Complete BiPartite,normal,20,-1.5137202498611615,0.12384907860816106,-0.33986137090548435,0.3148774694415576,-0.3789366257638119,-0.08985822942435327,-0.6379093841345775,1.1836138475520963,0.2017791531216693,0.9396355489047049,-1.1044284418503305,-0.7152180016549864,0.7669511007405103,-0.45394932112777575,-1.187745226844199,-0.5795588204458065,0.35954091048880515,1.011523680183804,-0.9800353316424286,-0.4433866341147023,-0.7111753731767195,0.06001293092623117,-0.07179495407058262,-0.5062749162412841,1.7653715492085316,0.8925802140373879,-0.3938430146095664,0.10790841562824977,2.0345451108201424,-0.11051126704372219,0.6727543476898772,0.9018665538287036,0.26916882954564086,0.35459958467121955,-0.8667589465763201,0.5498399877981622,-0.8546489650273335,0.20803048635424207,0.10266037906504343,0.2782417862803179
Nearly Complete BiPartite,uniform,20,0.8887819850018978,0.14819031798567617,-0.498264395534359,0.7713366697145261,0.35710889927092315,0.3600738622498849,0.11759623273459037,0.8093499916792212,0.13950712424290648,0.029212041710250686,-1.6641705988589481,0.533687112204042,0.6483577541096724,0.4839792342200524,0.3692712158739079,0.25112521644211344,-0.15992465033626718,1.2579733142351106,0.381290509981404,-0.6292987605978165,0.8121211786329714,-0.20632420775924587,-0.6936101252693299,0.05626373425066544,-0.40122392734987405,0.9127565257675503,0.5030810632125975,1.8908134770050422,-0.1764493755080061,-1.4543459264679817,-0.3487669017805919,2.6861424402523237,0.6591614919721037,-1.9141302388473616,-1.88659165658835,0.7659473083165032,0.5484385791893482,0.09179480985554574,-1.7225634781514114,2.3524188623834266
