graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8
3-Regular Graph,cauchy,9,0.5536439091904095,0.5457608501055193,-0.6555412657923563,-0.34182163649057684,-0.23733082249334145,-0.4595769432419007,0.3013471883078481,-0.07952590987611341,0.2591347525403284,-0.7237620307214683,0.05433721027512323,1.0239058682206277,0.057872276114722204,1.7014566404332165,-0.701957775774817,-0.6429816837568316,0.03952534113515603,1.1443028555701575
3-Regular Graph,exponential,9,0.08878993745014535,0.6392969750409032,-0.3197976061422164,-0.3240841361265691,0.14329369626184701,0.19214391861103491,0.5997433406177086,0.03714389341583342,0.15095691548800383,-1.753519570614841,1.4845550108816976,1.2368140097045381,-0.47766381106437916,-2.0826732889706037,-0.44088758204963086,0.7283913025416353,1.480238977904738,-3.462963963267476
3-Regular Graph,log-normal,9,-0.2506750610948922,0.10755668760204376,-0.16975866163359504,0.1269712209046056,0.39018002860153417,-0.28627446752626506,-0.1922652539873997,0.14511720685430496,-0.8652174022816539,1.5682209798125206,-0.07119757520404082,-1.3741098780795271,-2.0171705093121193,-0.7413773379879296,1.3699957681660375,-0.8600015479805293,-0.569835964545585,0.9708401255716391
3-Regular Graph,normal,9,0.36089134921936006,0.15107312917764332,-0.07268439143668216,-0.1221466587945326,-0.41871846153141934,-0.4714187975091766,-0.04254256759358093,0.4003912602265126,0.08188061011439207,0.954631926299436,0.8460488106011692,1.8473544056528355,1.7747759021677867,-0.3586355843699061,0.27448590346894064,-0.6389272020498045,-0.10624656562463253,-0.4536899308019722
3-Regular Graph,uniform,9,0.5787994611920264,-0.5820497876173187,1.5386059653189907,-0.6779309166778903,-0.5220274394345675,0.16278950801081965,-0.24925440272351634,0.2757909738447155,0.6713195257498875,0.12935279810834194,0.6329779630668029,-1.4923274720123938,0.6325268245913537,0.9128308575959719,0.019113852744330674,-1.011041313334157,-0.3079519343829067,1.2856997264337133
3-Regular Graph,uniform_plus,9,-0.4875394803220202,-0.16486310000538937,0.5715923510485844,0.030359522568308366,-0.15148814992877288,0.7446711650335445,0.5032001679086364,-0.13414237738513715,0.07906818348703654,0.982612613766189,1.3795112533770257,-1.1111366637514435,0.7195116732995721,-0.06551349948279236,-1.5519523368987338,-0.2482540035802015,0.36960495571686536,2.698116750834668
4-Regular Graph,cauchy,9,-0.5475988402369169,-0.4558462318337397,0.03890258884771229,-0.3787371026555063,0.3916986665577544,0.32968379346322096,1.0128023864523337,-0.17200230877808792,0.10618427414003062,0.9070469694481875,1.6590753045201274,0.3400103788443992,0.37721125056396265,-0.08526509391086895,-1.4503258922635052,0.674744923686531,-0.14063684926861045,0.15329955333045614
4-Regular Graph,exponential,9,-0.5384037754996087,-0.09940629021842334,-0.18824125695236796,-0.3588478541501575,-0.5432702743663633,0.09818484518387438,-0.034781602300882425,0.4774951938846567,-0.10003474067648285,1.0518176115292448,0.8543488537688312,0.7096063169916698,-0.8036965463809289,-0.4362668597722281,-0.5551204714917275,0.43556778487764436,-0.4274682218376822,-0.9146992808973605
4-Regular Graph,log-normal,9,0.7479993708048708,-0.47889949984398694,-0.46451867602462715,0.06591099335763417,-0.4277507986306311,0.6547274262737388,-0.21226732566232615,-0.8338633908455652,-0.5129584774290922,1.3323661913631404,-1.5682793473618306,-0.5339116926547547,0.19116175889425457,1.7642960879763345,-0.7468638864209338,0.41013977285390846,0.29927959024730033,1.097209152304409
4-Regular Graph,normal,9,0.07848920610726831,-0.2848071139762641,-0.07852703730679939,-0.8447019777628444,0.41674900729676945,0.7081972429016818,-0.1850454599043937,0.022501504620008404,0.13561598295271546,0.8579005802036972,1.6356146237749574,-0.5055704211110787,-0.06673663054389567,-0.7902738935523026,0.03560677577371196,0.3539691781741613,-2.222219790702311,0.032529219046632106
4-Regular Graph,uniform,9,0.516463611231881,0.25066541480998006,0.37501163670825133,0.3677495399515779,-0.3006224607585259,0.6490153097829087,0.13980480088612707,-0.09145172705637812,-0.8416524652131708,0.8686868081117533,-0.5632974053419685,-1.491881391124003,1.1995636398481242,0.6962151988450191,-0.3867662137460597,0.08617043569929168,-0.15899290252755055,2.793627418557194
4-Regular Graph,uniform_plus,9,0.3322220981838893,0.5084910760570006,-0.25487342699258697,0.42252954071881565,0.04792993929273024,-0.36189621497509894,0.38126126102469604,-0.05821461441547186,-0.9361252982073942,-0.12164754840523473,-1.7248550866400945,-1.7420368903088685,0.46648189843682997,0.21036428257889195,0.2345293595836307,1.6433874074748933,-0.06931719095664732,1.3900336738161088
Geometric,cauchy,9,-0.10884266500213644,1.1426461573393802,-0.3583827491128434,-0.23092300445546385,0.022144206726412888,-0.5937984580283328,-0.13386985589585826,0.5612053563611712,-0.20426167618252122,-0.6737173300337423,0.7398132666873336,1.3295502245671893,0.18116211309039862,1.5135400517017366,-0.17092374815722777,0.5778328510253662,-0.41015764046066344,0.7407960334032277
Geometric,exponential,9,-0.3227353026112726,-0.4455931667369835,0.49821772630096234,0.31967853779561006,-1.1234943625726714,0.49074760424457337,0.5508630356374222,-0.656344866092691,-0.06014165537359209,-0.9500149384116123,1.130160411416665,1.0387217973349163,-0.48899250255198157,1.0977863040186358,-0.30433915985551696,0.8349568197165347,-0.8770035111482756,-2.317667006554947
