Instances,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa,feature_algebraic_connectivity,feature_average_distance,feature_bipartite,feature_clique_number,feature_density,feature_diameter,feature_edge_connectivity,feature_entropy,feature_eulerian,feature_group_size,feature_is_distance_regular,feature_laplacian_largest_eigenvalue,feature_laplacian_second_largest_eigenvalue,feature_maximum_degree,feature_maximum_weighted_degree,feature_minimum_degree,feature_minimum_dominating_set,feature_minimum_weighted_degree,feature_number_of_cut_vertices,feature_number_of_edges,feature_number_of_minimal_odd_cycles,feature_number_of_orbits,feature_planar,feature_radius,feature_ratio_of_two_largest_laplacian_eigenvaleus,feature_regular,feature_smallest_eigenvalue,feature_vertex_connectivity,feature_weighted_average_clustering,feature_weighted_average_shortest_path_length,feature_weighted_diameter,feature_weighted_radius
38377f59fe8f437f845d0d9f892471df,15.0,536.0,188.0,14.0,100000.0,24.0,30.0,1.9999999999999991,1.5151515151515151,1,2,0.4848484848484848,2,4,1.8483924814931876,1,967680.0,0,12.000000000000004,3.9999999999999982,8,4.0,4,8,2.0,0,32,0,2,0,2,3.000000000000002,0,4.488139427467282e-16,4,0.0,0.7575757575757576,1.0,1.0
ee5c51a5f5394f8f9e9822f9c071d886,64.0,1751.0,562.0,14.0,195.0,12.0,30.0,0.8015752606547446,1.696969696969697,0,3,0.3636363636363636,3,2,0.0,0,1.0,0,7.634779519054729,1.6031505213094894,6,3.0,2,5,1.0,0,24,8,12,0,2,4.762359751982908,0,0.0,2,0.1833333333333333,0.8484848484848485,1.5,1.0
e5dfdd9e4e5f4dd7bf57940bc9dcc696,100000.0,100000.0,988.0,21.0,100000.0,21.0,43.0,0.6950196237123089,1.7424242424242424,0,4,0.3636363636363636,3,2,0.0,0,1.0,0,8.34997921617899,1.3900392474246217,7,3.5,2,5,1.0,0,24,7,12,0,2,6.007009680949162,0,-2.0062845682071407e-15,2,0.2488095238095237,0.8712121212121212,1.5,1.0
f4e40f3fb13f425b9638d907343a5c97,249.0,100000.0,717.0,109.0,100000.0,33.0,54.0,0.0844742628701424,2.575757575757576,1,2,0.1666666666666666,5,1,0.8958797346140276,0,720.0,0,8.060382554798041,0.1689485257402842,7,3.5,1,4,0.5,4,11,0,7,1,3,47.709102636319216,0,-6.121628864688492e-16,1,0.0,1.2878787878787878,2.5,1.5
72917a03fd0a4e73a49ddd041b980486,100000.0,100000.0,100000.0,19.0,143.0,20.0,49.0,0.8071591764596034,1.7424242424242424,0,3,0.3636363636363636,3,4,0.0,1,1.0,0,6.968759804292955,1.6143183529192089,4,2.0,4,4,2.0,0,24,6,12,0,2,4.316843571586229,1,0.0,4,0.2083333333333333,0.8712121212121212,1.5,1.0
604007aa42d94181a95e09e55b431bcc,100000.0,2246.0,730.0,15.0,103.0,15.0,64.0,0.3141631289848939,2.1515151515151514,0,3,0.2727272727272727,4,3,0.0,0,1.0,0,5.611284053531124,0.628326257969787,3,1.5,3,5,1.5,0,18,3,12,1,3,8.930526111803752,1,1.2212453270876722e-15,3,0.1666666666666666,1.0757575757575757,2.0,1.5
efd39a6b35ef4092bddb46863a05b9a0,175.0,100000.0,1347.0,37.0,100000.0,15.0,46.0,0.2375611836769761,2.090909090909091,0,4,0.3333333333333333,4,2,0.2310490601866484,0,4.0,0,6.358009140429534,0.4751223673539514,5,2.5,2,3,1.0,0,22,9,10,1,3,13.381835033022163,0,3.8857805861880484e-16,2,0.6805555555555557,1.0454545454545454,2.0,1.5
5e35d364ac48442194085c2dea7fae1f,100000.0,100000.0,881.0,16.0,131.0,30.0,50.0,0.0560391679736499,3.227272727272727,1,2,0.1666666666666666,7,1,0.2746530721670274,0,6.0,0,5.338687566072705,0.1120783359473002,4,2.0,1,5,0.5,6,11,0,10,1,4,47.63353703415958,0,1.5830694811121568e-17,1,0.0,1.6136363636363635,3.5,2.0
7ed89f4493114cfc9b693d8bbcfecc72,100000.0,100000.0,1365.0,18.0,100000.0,26.0,45.0,0.066644118065686,2.9393939393939394,1,2,0.1666666666666666,6,1,0.4620981203732968,0,24.0,0,6.160164312033127,0.133288236131372,5,2.5,1,8,0.5,5,11,0,9,1,3,46.21686422469815,0,5.12482262492523e-17,1,0.0,1.4696969696969695,3.0,1.5
0fea371146264b1187517977f856ac95,31.0,100000.0,242.0,19.0,72.0,13.0,27.0,0.8162777870248047,1.621212121212121,0,4,0.4393939393939394,3,2,0.0,0,1.0,0,9.310191813288265,1.6325555740496118,7,3.5,2,4,1.0,0,29,12,12,0,2,5.702833006899732,0,-1.7763568394002505e-15,2,0.4650793650793651,0.8106060606060606,1.5,1.0
526e985f321b42a590d762039ca733ae,100000.0,100000.0,1871.0,52.0,100000.0,18.0,31.0,3.3382978619567605,1.106060606060606,0,9,0.8939393939393939,2,7,0.6931471805599453,0,96.0,0,12.000000000000009,6.67659572391352,11,5.5,7,1,3.5,0,59,48,7,0,1,1.7973231413457735,0,-3.3306690738754696e-16,7,0.9147847522847524,0.553030303030303,1.0,0.5
