method,num_evals,function_value,variables,approximation_ratio,new_method
IMFIL,11,-8.180896340956542,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379 -3.65308598  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6292997185351186,IMFIL
IMFIL,12,-8.170813735972452,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933 -3.40669806  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285241335363424,IMFIL
IMFIL,13,-8.33931694671331,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725 -3.24196687
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6414859189779469,IMFIL
IMFIL,14,-8.370428265346835,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
 -2.89764953  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6438790973343719,IMFIL
IMFIL,15,-8.035023389127234,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578 -2.65515952  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6180787222405565,IMFIL
IMFIL,16,-7.982208486635908,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578 -2.35636653  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6140160374335314,IMFIL
IMFIL,17,-8.035827212090316,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878 -5.75766475  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761781,IMFIL
IMFIL,18,-8.035827212090314,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055 -5.29720668  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.618140554776178,IMFIL
IMFIL,19,-8.035827212090311,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863 -5.75231028
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761778,IMFIL
IMFIL,20,-8.03582721209032,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
 -6.06597746  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761785,IMFIL
IMFIL,21,-8.035827212090323,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785 -6.00750181  0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761787,IMFIL
IMFIL,22,-8.035827212090318,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835  -6.01542712  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761784,IMFIL
IMFIL,23,-8.035827212090307,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819 -6.02951467  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761775,IMFIL
IMFIL,24,-8.035827212090307,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064 -6.03092277  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761775,IMFIL
IMFIL,25,-8.03582721209032,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254 -6.02555434
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761785,IMFIL
IMFIL,26,-8.035827212090304,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
 -6.03689295  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761772,IMFIL
IMFIL,27,-8.035827212090304,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236 -6.07128314  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761772,IMFIL
IMFIL,28,-8.035827212090314,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216 -6.10967616  0.1348919   0.09922215  0.04400048]",0.618140554776178,IMFIL
IMFIL,29,-8.035827212090314,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914 -6.14829341  0.09922215  0.04400048]",0.618140554776178,IMFIL
IMFIL,30,-8.0358272120903,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919  -6.18396315  0.04400048]",0.6181405547761769,IMFIL
IMFIL,31,-8.035827212090311,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215 -6.23918483]",0.6181405547761778,IMFIL
IMFIL,32,-7.936233255115334,"[ 0.81714089  1.53797729 -2.67009756  0.51939581  1.65919991  3.29729515
  2.71541463  3.25657694  2.16671109  2.2520025   2.52466894  2.25022655
  2.51345779  3.6301208   4.06656643  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.610479481162718,IMFIL
IMFIL,33,-8.171618677778962,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285860521368433,IMFIL
IMFIL,34,-7.889680595352907,"[0.77997938 1.66766565 4.50683735 0.80527363 1.73760773 2.68583904
 2.47221921 2.7928106  2.29814244 2.44105092 2.70057809 2.6457225
 2.94949679 3.62907329 3.9966926  0.52552055 0.98597863 0.53087503
 0.21720785 0.2756835  0.26775819 0.25367064 0.25226254 0.25763097
 0.24629236 0.21190216 0.17350914 0.1348919  0.09922215 0.04400048]",0.606898507334839,IMFIL
IMFIL,35,-7.944143446522807,"[-5.50320593  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6110879574248312,IMFIL
IMFIL,36,-7.76800537001981,"[ 0.77997938 -4.61551965 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.5975388746169085,IMFIL
IMFIL,37,-8.363186648658116,"[ 0.77997938  1.66766565 -1.77634796 -5.47791168  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6433220498967782,IMFIL
IMFIL,38,-7.943211721031789,"[ 0.77997938  1.66766565 -1.77634796  0.80527363 -4.54557758  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6110162862332145,IMFIL
IMFIL,39,-8.02984501916755,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773 -3.59734627
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6176803860898115,IMFIL
IMFIL,40,-7.864145268830491,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
 -3.8109661   2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6049342514484993,IMFIL
IMFIL,41,-7.627904212855956,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921 -3.4903747   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.5867618625273813,IMFIL
IMFIL,42,-7.614450858029782,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106  -3.98504286  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.585726989079214,IMFIL
IMFIL,43,-7.697438644024576,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244 -3.84213439  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.5921106649249673,IMFIL
IMFIL,44,-7.852552157349072,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092 -3.58260722  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6040424736422363,IMFIL
IMFIL,45,-8.099747374509414,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809 -3.63746281
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6230574903468781,IMFIL
IMFIL,46,-8.106246746465064,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
 -3.33368852  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6235574420357742,IMFIL
IMFIL,47,-8.153026547417873,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679 -2.65411201  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6271558882629134,IMFIL
IMFIL,48,-8.16665388901249,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329 -2.28649271  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6282041453086531,IMFIL
IMFIL,49,-8.17161867777897,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926  -5.75766475  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285860521368438,IMFIL
IMFIL,50,-8.171618677778975,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055 -5.29720668  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285860521368443,IMFIL
IMFIL,51,-8.17161867777897,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863 -5.75231028
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285860521368438,IMFIL
IMFIL,52,-8.171618677778973,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
 -6.06597746  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.628586052136844,IMFIL
IMFIL,53,-8.171618677778957,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785 -6.00750181  0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285860521368428,IMFIL
IMFIL,54,-8.17161867777897,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835  -6.01542712  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285860521368438,IMFIL
IMFIL,55,-8.171618677778959,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819 -6.02951467  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285860521368429,IMFIL
IMFIL,56,-8.17161867777896,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064 -6.03092277  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285860521368432,IMFIL
IMFIL,57,-8.171618677778962,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254 -6.02555434
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6285860521368433,IMFIL
IMFIL,58,-8.171618677778973,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
 -6.03689295  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.628586052136844,IMFIL
IMFIL,59,-8.171618677778973,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236 -6.07128314  0.17350914  0.1348919   0.09922215  0.04400048]",0.628586052136844,IMFIL
IMFIL,60,-8.171618677778968,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216 -6.10967616  0.1348919   0.09922215  0.04400048]",0.6285860521368437,IMFIL
IMFIL,61,-8.171618677778968,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914 -6.14829341  0.09922215  0.04400048]",0.6285860521368437,IMFIL
IMFIL,62,-8.171618677778966,"[ 0.77997938  1.66766565 -1.77634796  0.80527363  1.73760773  2.68583904
  2.47221921  2.7928106   2.29814244  2.44105092  2.70057809  2.6457225
  2.94949679  3.62907329  3.9966926   0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919  -6.18396315  0.04400048]",0.6285860521368435,IMFIL
