run_id,num_nodes,graph_type,weight_type,approximation_ratio_fixed_angles_constant,approximation_ratio_random,approximation_ratio_three_regular,approximation_ratio_qibpi,approximation_ratio_tqa,approximation_ratio_interp_p15,approximation_ratio_fourier_p15,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa
2bb7fe53941e4c10abf5ee361bbb9938,10,Watts-Strogatz small world,uniform_plus,0.9748887273510872,0.8846056531221731,0.9845184984842096,0.9829738050894606,0.9848245561744396,0.9848201195356608,0.7933083224867605,100000.0,100000.0,794.0,19.0,100000.0,14.0,61.0
cda735abc8d14daf91e67e9b00658291,10,Watts-Strogatz small world,uniform,0.9762430826845564,0.9730400597065604,0.9793517081443484,0.9752150313534554,0.9767718480320564,0.974998072624787,0.7160914823444953,44.0,100000.0,455.0,124.0,72.0,14.0,25.0
239175f8465c4f01818f82f09af69091,10,Watts-Strogatz small world,cauchy,0.9751394767273786,0.9696932370837108,0.9744237890820056,0.9829690834450882,0.984737607788747,0.9771326696813852,0.7149859822751932,170.0,100000.0,1051.0,23.0,100000.0,100000.0,51.0
b440eb9f06e046deba42fde660c1dba5,10,Watts-Strogatz small world,exponential,0.9720790879348604,0.9736723539444484,0.9689531070533892,0.9775149729535664,0.97780895817995,0.9819528815375124,0.9717912975036602,100000.0,100000.0,1082.0,15.0,332.0,100000.0,65.0
b4fce82c0de04975ba059cc8febcbfe9,10,Watts-Strogatz small world,uniform_plus,0.992923929564564,0.9849972174918588,0.9947179230319312,0.9943610693652248,0.9937782437326492,0.994892849356617,0.7096193435301058,55.0,100000.0,631.0,13.0,218.0,15.0,42.0
125f3d73d208451ca0ec478994802bf7,10,Watts-Strogatz small world,normal,0.9874294270444928,0.9887608958298236,0.9896877874358576,0.9917220988229052,0.9917045460737138,0.99112149366564,0.7220718323998382,96.0,100000.0,605.0,17.0,63.0,20.0,46.0
35ae5c69d0fb4214a8dac74d91af3537,10,Watts-Strogatz small world,normal,0.9747962590566877,0.9626684365891668,0.982204390334089,0.9829621235308658,0.9824518890201908,0.9812232558831808,0.7800235954118445,66.0,100000.0,821.0,10.0,100000.0,15.0,29.0
20953ad7b7a64dda920095735b21c528,10,Watts-Strogatz small world,exponential,0.9761071041458343,0.9796453408512048,0.9773617654938276,0.9866821528328484,0.9840374655211918,0.981362158035094,0.6718324923798291,100000.0,100000.0,714.0,13.0,236.0,120.0,62.0
a192aa041a4c45a1a21a9b3c4615e3bb,10,Watts-Strogatz small world,cauchy,0.9817219005240572,0.9828005462066216,0.9890296545682103,0.986742842453748,0.9876950614203974,0.9850070205075332,0.7327217307258743,102.0,100000.0,435.0,23.0,122.0,16.0,34.0
8f5630cfff2d4c0faec799962b6d3b3e,10,Watts-Strogatz small world,log-normal,0.9709822493314868,0.9592009244073538,0.9814256435313568,0.9604418001166224,0.9814182428351526,0.9847950277904692,0.9506260018297626,100000.0,100000.0,1325.0,100000.0,100000.0,23.0,93.0
541fed2add6849a2a741ffa95b265f7a,10,Watts-Strogatz small world,uniform_plus,0.9801413703630892,0.9608700838701268,0.985843875810663,0.9836435297450812,0.9848487874688132,0.9778552184734248,0.7606002636936773,50.0,100000.0,525.0,15.0,100000.0,18.0,40.0
aabdd86018bd495299cd02e6d051b3ca,10,Watts-Strogatz small world,uniform,0.9902748821002462,0.988411626988001,0.9963861043000796,0.9907918739012372,0.9972107723234168,0.9963267174583288,0.6522620273745098,120.0,100000.0,642.0,131.0,139.0,15.0,30.0
0cad5db5cf324c5e80a96a5c01f96ba7,10,Watts-Strogatz small world,log-normal,0.9786383635314836,0.9789264289137224,0.9845526031158702,0.9754076550563748,0.9842346452341564,0.9779448495964544,0.950565364018542,131.0,100000.0,839.0,299.0,292.0,9.0,85.0
586e95c1526f40dc90bb0b47b326556c,10,Watts-Strogatz small world,cauchy,0.9605124497862098,0.9637469261266048,0.9705477275004,0.970521892562798,0.9705407550521168,0.960731441928064,0.9397291181305664,100000.0,100000.0,800.0,21.0,243.0,51.0,55.0
025658124fa449bf82b2f69d734942fe,10,Watts-Strogatz small world,exponential,0.9882072835058016,0.9753332060952734,0.978484638486263,0.9910828708553868,0.9900369586080028,0.99211100068086,0.7030798574210791,41.0,100000.0,353.0,11.0,100000.0,100000.0,26.0
1c5ba8d3fece482f885e0ecbb584e95f,10,Watts-Strogatz small world,normal,0.9814922362758546,0.9783124074956296,0.983577289615963,0.9825020726386264,0.98505874501025,0.9800522801428038,0.7569825184819652,145.0,100000.0,673.0,14.0,263.0,15.0,40.0
