Instances,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa,feature_algebraic_connectivity,feature_average_distance,feature_bipartite,feature_clique_number,feature_coefficient_of_variation,feature_density,feature_diameter,feature_edge_connectivity,feature_entropy,feature_eulerian,feature_first_quartile,feature_group_size,feature_interquartile_range,feature_is_distance_regular,feature_kurtosis_weight,feature_laplacian_largest_eigenvalue,feature_laplacian_second_largest_eigenvalue,feature_maximum_degree,feature_maximum_weighted_degree,feature_max_weight,feature_mean_weight,feature_median_weight,feature_minimum_degree,feature_minimum_dominating_set,feature_minimum_weighted_degree,feature_min_weight,feature_number_of_cut_vertices,feature_number_of_edges,feature_number_of_minimal_odd_cycles,feature_number_of_orbits,feature_planar,feature_radius,feature_range_weight,feature_ratio_of_two_largest_laplacian_eigenvaleus,feature_regular,feature_skewness_weight,feature_smallest_eigenvalue,feature_std_dev_weight,feature_third_quartile,feature_variance_weight,feature_vertex_connectivity,feature_weighted_average_clustering,feature_weighted_average_shortest_path_length,feature_weighted_diameter,feature_weighted_radius,Source
0e99c1067bbf453584b9c04e7c7da033,100000.0,100000.0,100000.0,78.0,100000.0,250.0,233.0,0.0,1.8,1,2,0.8325391834834133,0.2,2,1,1.977502119602597,0,0.0632833771597149,362880.0,0.6572253795363948,0,-1.6911088233562732,10.000000000000004,0.9999999999999996,9,4.109913309808714,1.0,0.4566570344231906,0.6381498659184002,1,1,0.0,0.0,1,9,0,2,1,1,1.0,10.000000000000009,0,0.000219538225225,-1.4048549649980924e-16,0.38018487457064,0.7205087566961098,0.1445405388522933,1,0.0,0.8219826619617427,1.893035251950559,1.0,Nearly Complete BiPartite
64e8c80abc5a4e8a8cad9a09c118f160,100000.0,100000.0,678.0,15.0,100000.0,15.0,55.0,0.4127309111282712,1.8888888888888888,0,3,0.4119592206260646,0.3333333333333333,3,3,0.5545177444479562,0,0.4156347075364588,4.0,0.3619627293529028,0,0.1123516404097242,5.666950403940627,0.9223487300524532,3,2.464523404573943,1.0,0.6038802193691974,0.6669595010789959,3,4,0.995745212949318,0.0,0,15,5,6,0,3,1.0,6.144043157752657,1,-0.7717028623467644,-4.440892098500626e-16,0.2487740245228315,0.7775974368893617,0.0618885152772863,3,0.0636977433171235,0.9465383820623244,1.8087909651001175,1.1921371447638782,3-Regular Graph
eca2f949e89546649c98723e06d902fb,66.0,1681.0,631.0,15.0,192.0,139.0,36.0,0.2078067321433252,1.6222222222222222,0,3,0.929468701757126,0.3777777777777777,2,2,1.8021826694558576,0,0.0835150142609383,80640.0,0.2467376046283736,0,1.4160214037572914,10.0,1.999999999999999,9,2.785271841161069,1.0,0.2740895616700582,0.188463476181992,2,8,0.2114742572529822,0.0,0,17,8,2,1,1,1.0,5.000000000000003,0,1.419460493533651,4.04358525212233e-16,0.2547576690506487,0.3302526188893119,0.0649014699401198,2,0.216411519661465,0.2519065971793637,0.6144155756064701,0.3302526188893119,Nearly Complete BiPartite
fab8e7276c384c40b16ea42aedf4d560,80.0,100000.0,809.0,29.0,246.0,10.0,61.0,0.1723415076660835,1.6,0,3,1.1149943998608298,0.4444444444444444,3,4,0.5545177444479562,1,0.0637942947466226,2.0,0.1840959165593663,0,7.546379097642159,6.48603940289725,1.6863565557664748,4,1.6775006377447048,1.0,0.1911141818066867,0.1382643797711284,4,3,0.3470173434416746,0.0,0,20,8,6,0,2,1.0,3.846185067279112,1,2.6431055102471506,-4.440892098500626e-16,0.2130912424484402,0.2478902113059889,0.0454078776082199,3,0.0539321858129682,0.1648495663477041,0.3087334915857622,0.2508909131068179,4-Regular Graph
f59ee38cbde242e3b96f5e705a673ed2,330.0,100000.0,754.0,17.0,100000.0,20.0,78.0,0.0,1.8,1,2,0.934592222997556,0.2,2,1,1.977502119602597,0,0.1214790403123548,362880.0,0.3601235273761551,0,-0.8398916234935254,10.000000000000004,0.9999999999999996,9,3.408620992540822,1.0,0.3787356658378691,0.2520078236457819,1,1,0.0,0.0,1,9,0,2,1,1,1.0,10.000000000000009,0,0.7701140055390102,-1.4048549649980924e-16,0.3539634078638736,0.4816025676885099,0.1252900941066069,1,0.0,0.6817241985081646,1.9579957852968803,1.0,Nearly Complete BiPartite
e8cc3898414940ee899833aaff89b894,100000.0,100000.0,853.0,46.0,100000.0,29.0,62.0,0.5953687942532297,1.5555555555555556,0,3,0.6649541329259907,0.4444444444444444,2,4,0.9704060527839234,1,0.1215984437055829,4.0,0.7586274563364037,0,-1.4936249515575617,6.655442381549824,2.1338017374909755,4,3.5188334150244494,1.0,0.5585468451665099,0.6422822238745274,4,3,0.6698032729468232,0.0,0,20,7,4,0,2,1.0,3.119053783026537,1,-0.3426159916812468,4.440892098500626e-16,0.3714080331262441,0.8802259000419866,0.1379439270707052,4,0.0820927630142704,0.5109828533096543,1.2835900019334092,0.6615268390978147,4-Regular Graph
7b2e0b701943405fbd0b9d8f13047e8b,124.0,1442.0,791.0,17.0,100000.0,10.0,73.0,0.0,2.555555555555556,1,2,0.704480854543777,0.2,5,1,0.4682131227124219,0,0.2172609053414426,12.0,0.3695219676059633,0,-0.6851626335992704,5.682097911366391,0.202207460424082,4,2.2082253300799204,1.0,0.4252451126465116,0.3888972333813367,1,5,0.0,0.0,4,9,0,7,1,3,1.0,28.100337640607037,0,0.4956271264416531,-1.8511658215342448e-17,0.2995770403477792,0.5867828729474059,0.0897464031035349,1,0.0,1.147053610670496,2.415510563225149,1.4155105632251486,Power Law Tree
3f50bab3a7644337bd4fc39fc0d25e3b,479.0,100000.0,100000.0,15.0,100000.0,26.0,37.0,2.554364277552004,1.0,0,10,0.3828286572252139,1.0,1,9,2.302585092994045,0,0.2989300532914631,3628800.0,0.0370462602040391,1,19.4749923832148,10.000000000000002,9.999999999999991,9,3.4758314208881536,1.0,0.3195368842281311,0.3142433833224865,9,1,2.4028398886307296,0.0,0,45,36,1,0,1,1.0,1.0000000000000009,1,3.380538367660411,-2.220446049250313e-16,0.122327876322984,0.3359763134955023,0.0149641093256912,9,0.2959535211358192,0.2942634123314079,0.3752346555814842,0.3142433833224865,Geometric
47098bf66b0b49308e7e85a5f9fc2d24,153.0,100000.0,1142.0,37.0,100000.0,29.0,100000.0,0.0,2.844444444444445,1,2,0.6260036400445268,0.2,6,1,0.138629436111989,0,0.3033209206820719,2.0,0.1974559182355107,0,0.7620219073395229,4.852164354188758,0.1614053038147848,3,1.3263852125590958,1.0,0.412069685349868,0.3361983293079735,1,6,0.0,0.0,5,9,0,9,1,3,1.0,30.061988295977525,0,0.8814332749188654,-5.183980893377028e-16,0.2579571229810202,0.5007768389175826,0.0665418772966451,1,0.0,1.1634878307008385,2.9045294085491578,1.578144195990062,Power Law Tree
68b5513bd5c24026a0e36e824b7af288,34.0,100000.0,712.0,14.0,100000.0,16.0,30.0,0.8857639774568462,1.5555555555555556,0,3,0.474671307980536,0.4444444444444444,2,4,0.5545177444479562,1,0.4784097091986768,2.0,0.344243558958658,0,-0.6122269843302144,6.928671030156084,2.339684796217711,4,3.464652062767388,1.0,0.6073529143692654,0.6275330218391213,4,3,2.012024409730208,0.0,0,20,4,6,0,2,1.0,2.961369429487613,1,-0.5421554463053553,0.0,0.2882930022694497,0.8226532681573349,0.0831128551575329,4,0.1294752654092177,0.8088417418931354,1.4513177150845016,0.9961244391668916,4-Regular Graph
5dbf26f42de44be091b38d6247b5ba98,295.0,100000.0,1219.0,27.0,100000.0,100000.0,63.0,2.628001441666989,1.2444444444444445,0,6,0.175589461640517,0.7555555555555555,2,3,0.3295836866004328,0,0.9353654068140363,6.0,0.0101116760744385,0,27.946646726663783,10.000000000000004,2.801688730691257,9,8.441362621156939,1.0,0.9144211635686204,0.9407982952814892,3,2,2.814909031232121,0.0,0,34,25,8,0,1,1.0,3.569275876529195,0,-5.418726254228049,-1.7763568394002505e-15,0.1605627198237092,0.9454770828884748,0.0257803869971869,3,0.715380255826767,1.1415118693844897,1.912860105699316,0.9878299926441844,Geometric
32b9690fedd345679f4a1021d3e975bc,51.0,100000.0,1031.0,31.0,100000.0,100000.0,50.0,0.7164277093057771,1.5555555555555556,0,5,0.4896803078090104,0.5333333333333333,3,1,0.0,0,0.3542843998027531,1.0,0.4329133287336862,0,-0.9566433130295668,8.488579931151829,0.8711840304827939,7,4.195124299938426,1.0,0.5872235225635524,0.6796851322772748,1,4,0.8592854915570038,0.0,1,24,10,10,0,2,1.0,9.74372765585202,0,-0.3798344973816032,1.1102230246251563e-16,0.2875517952816117,0.7871977285364394,0.0826860349696779,1,0.2318965252268618,0.8331646945152184,2.132379613501288,1.2730941219442835,Uniform Random
1a353a8338be411097b13f9f3ac8160a,407.0,2402.0,1561.0,155.0,100000.0,95.0,122.0,0.0500731292561743,1.6888888888888889,0,4,1.8397468423326453,0.4444444444444444,3,2,0.138629436111989,0,0.0556457071487831,2.0,0.0234912449769937,0,14.619594711157216,7.79154101647847,1.1420492953756305,6,1.4142367254062882,1.0,0.1114805984070797,0.0641348163346256,2,3,0.0696594774543521,0.0,0,20,9,9,0,2,1.0,6.822420930539395,0,4.045242910324236,0.0,0.2050960789007787,0.0791369521257769,0.0420644015804744,2,0.0477809932002405,0.0952692357832152,0.1883243295203169,0.1253782014215951,Watts-Strogatz small world
10a094002e1044398a9ca6a543d90984,171.0,100000.0,100000.0,100000.0,100000.0,100000.0,25.0,5.834949062620428,1.0,0,10,0.1708339077526902,1.0,1,9,2.302585092994045,0,0.7170798564571488,3628800.0,0.0199792057669522,1,23.88924494065671,10.000000000000002,9.999999999999991,9,6.808100087505208,1.0,0.7157919686173437,0.7296367299150621,9,1,5.7497766257068506,0.0,0,45,36,1,0,1,1.0,1.0000000000000009,1,-4.174372621525201,-2.220446049250313e-16,0.1222815391368918,0.737059062224101,0.0149527748136872,9,0.6817483306689114,0.6984655489842583,0.7878800880133258,0.7322729477858648,Geometric
a4ac41e9e87c49e9826645e32658abf9,100000.0,100000.0,1296.0,16.0,100000.0,31.0,46.0,2.5850907475460536,1.0,0,10,0.6572544248813549,1.0,1,9,2.302585092994045,0,0.1876442592957964,3628800.0,0.5375947099047181,1,-1.3655223274484445,10.000000000000002,9.999999999999991,9,6.177734117937949,1.0,0.4703067000380659,0.5372992367317105,9,1,2.7150862734996366,0.0,0,45,36,1,0,1,1.0,1.0000000000000009,1,-0.000116391348089,-2.220446049250313e-16,0.3091111596513669,0.7252389692005146,0.0955497090210128,9,0.356545921929565,0.1482218252554649,0.4439062467922406,0.2278687036421152,Geometric
7718bbb7a0414ecd8ba276c5dd3e717c,138.0,100000.0,477.0,32.0,100000.0,100000.0,31.0,0.0,1.9555555555555555,1,2,0.5100640537842304,0.2,3,1,1.3621371043387192,0,0.5175360834726355,5040.0,0.3444400124999909,0,-0.6483571609591534,9.018092436973706,0.4354627960043133,8,4.878575316322302,1.0,0.6258849191562317,0.7543889560837833,1,2,0.0,0.0,2,9,0,4,1,2,1.0,20.709214471870474,0,-0.7746541424245693,6.593807186599091e-17,0.3192413990672428,0.8619760959726264,0.1019150708784105,1,0.0,1.219134099087644,2.349296957125101,1.3492969571251012,Power Law Tree
69fdff96c90e475eae7ff584a8f981fb,135.0,2151.0,1189.0,15.0,210.0,15.0,140.0,0.4122656146620953,1.8222222222222224,0,3,0.6595076188760866,0.3333333333333333,3,3,0.5545177444479562,0,0.2880120392094637,2.0,0.546156753568049,0,-1.3351425126303922,5.596154676008626,1.120614758428182,3,2.126517593177377,1.0,0.500954774700675,0.4076920724141811,3,4,0.5977707063163218,0.0,0,15,4,6,0,2,1.0,4.993825606810685,1,0.1583446059112968,1.7763568394002505e-15,0.3303834906274485,0.8341687927775128,0.1091532508791773,3,0.0286472797268724,0.6982113213128244,1.439366109724638,0.881324568153512,3-Regular Graph
03b5904c4d404fb6a470d3c3fca439f1,45.0,100000.0,527.0,18.0,100000.0,15.0,35.0,0.7882046299653773,1.5333333333333334,0,4,0.0,0.5111111111111111,3,2,0.0,0,0.5,1.0,0.0,0,0.0,8.64954193682464,1.5764092599307542,7,3.5,0.5,0.5,0.5,2,3,1.0,0.5,0,23,13,10,0,2,0.0,5.486863187548507,0,0.0,-2.220446049250313e-16,0.0,0.5,0.0,2,0.5566666666666668,0.7666666666666667,1.5,1.0,Uniform Random
c16a2edbdf024b02ba55b888bf107bd4,100000.0,100000.0,723.0,11.0,100000.0,120.0,58.0,0.1396790140192371,1.6222222222222222,0,4,1.085904188680848,0.4666666666666667,3,2,0.0,0,0.0706915680932795,1.0,0.1537477016789994,0,5.033725780828496,7.497251212710508,1.2456569109441833,5,1.6855906837446375,1.0,0.2061585898004231,0.1416832451470736,2,4,0.155193002761466,0.0,0,21,8,10,0,2,1.0,6.018712814773163,0,2.256112848893084,4.440892098500626e-16,0.2238684761968162,0.224439269772279,0.0501170946346844,2,0.0523107404199339,0.1629679110651807,0.3242950347006218,0.2152540609155125,Uniform Random
570f38daf60044cb9eff7eb4b18204a8,111.0,100000.0,846.0,14.0,323.0,17.0,63.0,0.0,2.888888888888889,1,2,0.5522396271954337,0.2,6,1,0.3295836866004328,0,0.4557790787562818,6.0,0.1609037260992585,0,-0.5140167301315159,5.2844464684400885,0.1472775923675702,4,1.8488753994358391,1.0,0.5222715143633307,0.5755725549141583,1,6,0.0,0.0,5,9,0,8,1,3,1.0,35.880858611888165,0,-0.3151484098421416,9.78976129138996e-17,0.2884190263868004,0.6166828048555404,0.0831855347819098,1,0.0,1.6308031599711117,3.669091995599537,2.009779125535098,Power Law Tree
7e040d24403f45c6918cb1f2d22aab5e,189.0,100000.0,1125.0,29.0,91.0,18.0,50.0,0.5212082406365611,1.6,0,4,0.5326523541659711,0.4444444444444444,3,2,0.0,0,0.2582838834485433,1.0,0.3433856514310996,0,-0.3671996625364695,8.16496248576188,1.4801840901365484,7,2.8017287094575503,1.0,0.4606735185078182,0.4306438550205246,2,4,0.7380881905472279,0.0,0,20,8,10,0,2,1.0,5.516180413078656,0,0.3366254610795922,8.081942111548238e-16,0.2453788341351104,0.601669534879643,0.060210772241506,2,0.1734299276776714,0.6007355243362106,1.3424499726128252,0.7058247075559124,Watts-Strogatz small world
4760e6e6cd884882a7b897b130541900,64.0,100000.0,945.0,15.0,100000.0,15.0,46.0,0.4253779740584021,1.7555555555555555,0,2,0.5040200997235146,0.3333333333333333,3,3,1.2476649250079015,0,0.3791856938463572,8.0,0.2706252660651113,0,-0.2097732228920259,5.561552812808832,1.4384471871911702,3,1.957286131409138,1.0,0.4985490615176912,0.4695950445228256,3,4,0.8070780441222558,0.0,0,15,3,3,0,2,1.0,3.8663587112077273,1,0.0999596797601751,-9.818518551725224e-17,0.2512787477032113,0.6498109599114685,0.0631410090472941,3,0.0,0.7728405153552965,1.2644178280365015,1.0879937138602138,3-Regular Graph
4f682dc449a44bea998e02c9c6ecf21f,122.0,1683.0,1225.0,42.0,100000.0,296.0,105.0,0.1239540670929444,1.5777777777777775,0,3,1.268753715838515,0.4444444444444444,3,3,0.0,0,0.0364060604023492,1.0,0.2169580349000393,0,1.9150212914477256,7.457137141460862,2.0737227242767897,5,1.4682627365567895,1.0,0.2102345651868011,0.088584081457646,3,3,0.1200221799895211,0.0,0,20,4,10,0,2,1.0,3.5960145752183608,0,1.680981666336632,0.0,0.2667358857784483,0.2533640953023885,0.0711480327620134,3,0.021011924948654,0.0899688644009926,0.1812999402201115,0.1159679889199418,Watts-Strogatz small world
a13dd17970954c2e8c5662e3392a0908,53.0,995.0,439.0,15.0,100000.0,16.0,35.0,0.5408808289547994,1.6666666666666667,0,4,0.5169015484458939,0.4444444444444444,3,4,0.9704060527839232,1,0.2951567057556973,8.0,0.3219997604671329,0,-0.5422345250132108,6.691125522776614,1.1219385778512196,4,2.294817407726834,1.0,0.4828807409339618,0.5294814712408034,4,3,1.481457628786342,0.0,0,20,9,4,0,2,1.0,5.963896468906273,1,0.0025686100376217,6.661338147750939e-16,0.2496018027034654,0.6171564662228303,0.0623010599128196,3,0.1512060456305839,0.6962949539620308,1.1850504145001357,1.0006927102518772,4-Regular Graph
7d34bfad862146acb5f02f410c97a586,100000.0,100000.0,393.0,17.0,100000.0,20.0,47.0,0.7964830306765236,1.4666666666666666,0,4,0.6248317078687396,0.5333333333333333,2,3,0.0,0,0.2295620885540882,1.0,0.3878403678362058,0,-0.6759196354979329,8.66659748650235,2.3430968587428413,7,3.476056885377937,1.0,0.4167264200105092,0.4046260061997618,3,3,0.8982095143880386,0.0,0,24,11,10,0,2,1.0,3.69877901298212,0,0.2523536643024165,-3.552713678800501e-15,0.2603838807291922,0.6174024563902941,0.0677997653435942,3,0.1247804368633125,0.34210646582876,0.6738075933151573,0.5262688130770796,Uniform Random
2b35c98e5ef64fe28815d837403a2f95,50.0,100000.0,684.0,9.0,183.0,252.0,37.0,0.2078697528008506,1.4222222222222225,0,5,1.0125793598669883,0.6222222222222222,3,3,0.2772588722239781,0,0.0627857004599446,4.0,0.1576207439384057,0,5.8243006819426615,9.217607734927515,1.660788281234125,8,2.650658792921208,1.0,0.2044905982955204,0.1695858289165455,3,3,0.5173077207297063,0.0,0,28,19,8,0,2,1.0,5.550140158791312,0,2.305856330792553,-8.881784197001252e-16,0.2070629591208955,0.2204064443983503,0.0428750690399016,2,0.1163583559389431,0.1079394519230753,0.2387280905571269,0.1249450299359549,Geometric
