graph_type,weight_type,layer,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_beta_10,median_beta_11,median_beta_12,median_beta_13,median_beta_14,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_13,median_gamma_14
3-Regular Graph,None,15,-0.8455281460730503,-0.6657829950284583,0.11993750505328563,1.2374008104301428,0.23765855266476746,0.4274844946354264,0.3950808826369976,0.3698405486581709,0.33747062363695224,0.3004968419401768,0.24426245458020102,0.15503345204069394,0.12138826588100785,0.10882463517690255,0.05921554794932375,0.678381611774632,-0.20733964593358065,-2.3588593472198287,0.4527535278717513,1.0303045333452931,1.6850406051470608,2.172945783178783,2.366692937961561,2.5645724645293684,2.7084184007393732,2.9025151585292366,2.8077463367117566,2.9211080173042276,3.9880596378907676,4.277205866508792
3-Regular Graph,exponential,15,0.6474707118042158,0.5317916446729521,1.3568994140211281,-1.188520872820588,1.937179716700078,0.3638713803260204,0.31056490925036273,0.3229133773630878,0.3095664826470448,0.30385215344262045,0.2690149114127496,0.239452194098104,0.19386254505168793,0.12887141521396853,0.047001561295365105,1.3488164937243756,2.900662859602203,3.9660355813533603,-0.7950482208037212,0.7175664884347371,3.5475323745779264,3.0442133342010615,3.116680748835743,3.340546892982948,3.8500788285305565,4.309823580835161,4.799117074422859,5.387215961724087,5.674565541740835,5.999280928326642
3-Regular Graph,log-normal,15,0.6392685473194952,0.4869977757239887,-1.1863439530440723,1.7018227679206381,1.4412854454191764,0.3652911996259533,0.29512524629487424,0.2801907587873822,0.20495331503891726,0.2298777104027174,0.20408216106418506,0.11836505319090208,0.15259686796414035,0.057459799104723715,0.11459976788347172,2.071589739595306,4.676388495860537,5.2384087993184325,-1.0110456898195512,-1.2682177353985125,7.657949545102447,5.640655647074415,5.268654177184123,5.683329718877453,6.793087914445662,6.127130267109762,8.875805679954823,5.918524470316149,10.0959292827079,5.5886718381206775
3-Regular Graph,normal,15,1.1852239723108418,-0.029314376521784043,1.0435302849512504,0.5184415206346831,0.49005121872992513,-0.03185394135954826,0.41970358592280893,-1.1165823452853048,1.5189222739869424,0.3820056108367098,0.34495137676829135,0.28941595353694616,0.21738580887484235,0.13904107961040413,0.05849336735436436,0.7340390630875326,1.8912135677290118,-1.87299343303741,1.6606292451346645,1.7503769224661465,-0.7252613277229738,2.710168076001111,2.060156995180133,-0.37483042194832294,2.6130985473858477,2.291927771311713,2.4759729076960055,2.6664045945548382,2.9960373696756744,3.1643554021511355
3-Regular Graph,uniform,15,0.5956017179566325,1.5747821351634053,-0.2459194364331659,0.061699952234971246,-0.03627331232852719,0.8003881897917915,0.4344215400398686,0.39592143678648983,0.34231337686266805,0.27252706129257254,0.207210914071503,0.1531035178644832,0.09430163110365085,0.052772135236211125,0.02501404963822801,0.7739481050379359,3.590697273943077,-1.4786990277871002,-2.4623095031150615,0.37749754479644876,1.7104124991738063,2.4877244015266005,2.685766964799418,2.945636754987572,3.2370376986957585,3.5478672579978596,3.8584600600402092,4.2611184934489925,4.6920914937706755,4.518494678528472
3-Regular Graph,uniform_plus,15,-0.21649423919213073,-0.7682062164414317,0.9705881383721396,0.7744302820614006,0.4626405763985935,0.4200722600511918,0.38611653868012913,0.37649916745149437,0.3597532019410751,0.33587256366222606,0.2835918056268506,0.2256661262055262,0.16560863978733054,0.10593042513665346,0.05895883519191905,1.396252544529484,-1.1568488783192257,-0.02922506674317289,0.4572222650175841,2.3547756048178483,2.3103900535551443,2.460784161846945,2.57798743106017,2.6935471600340466,2.9407151050033318,3.140200306091611,3.5122190585574393,3.6624472952001415,3.904154427024944,3.9054158561398418
4-Regular Graph,cauchy,15,-0.5951831550265337,-0.46813400873511674,-0.40536186909944927,-0.38433638919981294,-0.3678904707465391,-0.34014364667492625,-0.3004213873780004,-0.3360107726658713,-1.4910761748364134,0.00335899111363041,-0.19888046683364902,-1.726604384944633,-0.12015113519979016,-0.06855701834348764,-0.029767390442245235,-0.4234832349056985,-0.9294693800630132,-1.1022445034227026,-1.2810914867154883,-1.4302377529827761,-1.572689157673991,-1.6817611166468525,-1.815080586752816,0.10885207116671732,-0.13560993169587443,-1.97370465108822,-2.0875331014904006,-2.28823037101963,-2.522004418051316,-2.645953315420792
4-Regular Graph,exponential,15,0.5599611971165451,0.09095163195440495,1.093233843645703,0.9029820276305857,0.3612547416070744,0.31688813125244236,0.30576587093547786,0.28615028570464757,0.26143473238058634,0.22906378575452416,0.19148952686873466,0.16120396657435632,0.13687144782724944,0.10079332149007492,0.06589747890473033,1.343192070742174,5.132408319603521,-1.8465196476893313,-0.5628138762665087,4.123710400830339,3.7812791764641154,4.0264426153617565,4.395886660224318,4.7957939133251655,4.910344872335899,5.336850579583563,5.49137149858188,5.83501157769818,5.450668364283847,5.721420738273365
4-Regular Graph,log-normal,15,-0.594836558256868,-0.46860980665042423,-0.4001593003513471,-1.868354211890282,1.434828135157802,1.2599055525586282,-0.2895524151408863,-0.2288617583791378,-0.17900210268980474,-0.12634615776546385,-0.09817858137592174,1.5426264842513482,-0.04598830312583937,0.15375348948560585,-0.17945716044189033,-0.9004648925052303,-2.0395996111419423,-2.5310026538995394,-2.7770610817031764,-1.4428969532791485,-2.380505567567864,-3.4129548658544135,-3.649952045391293,-3.7861179069246127,-4.354023549030694,-5.056777431797552,-11.90432786698713,5.95112913784143,10.12622331319788,0.13421607754720902
4-Regular Graph,normal,15,-0.6138323836308914,-0.4875265497097454,-0.42462911087976485,-0.39732081028716215,-0.371716442891034,-0.3471889661428381,-0.31389366678055186,-0.2757148109413284,-0.22565830653322283,-0.1743775681427661,-0.006137158094170196,-1.707506863593387,-0.0906382777799993,-0.0579217079454654,-0.02913531687842059,-0.5159349472867513,-1.1818359455458718,-1.4432139772696406,-1.6569167073777815,-1.804016574883306,-1.9408416291799722,-2.0588628512418263,-2.1950672981563364,-2.3778788990976523,-2.5802381995696795,-4.956223477362263,2.2391869682512446,-2.994412736994101,-3.341454740264787,-3.2095439298278334
